2019-04-12 05:13:44+00:00,lythanhphu,Transporter,AG36
2019-04-12 05:13:52+00:00,lythanhphu,Transporter,AG36
2019-04-12 05:14:01+00:00,lythanhphu,Transporter,AG36
2019-04-12 05:14:25+00:00,lythanhphu,moomoo,AG36
2019-04-12 05:15:24+00:00,lythanhphu,Transporter,AG36
2019-04-12 05:15:49+00:00,lythanhphu,moomoo,VehicleRocket
2019-04-12 05:16:06+00:00,lythanhphu,moomoo,AG36Grenade
2019-04-12 05:16:21+00:00,lythanhphu,Transporter,AG36
2019-04-12 05:16:51+00:00,lythanhphu,moomoo,VehicleRocket
2019-04-12 05:16:56+00:00,lythanhphu,jason,VehicleRocket
2019-04-12 05:17:20+00:00,shogun,lythanhphu,M249
2019-04-12 05:17:27+00:00,shogun,lythanhphu,M249
2019-04-12 05:17:54+00:00,lythanhphu,jason,M4
2019-04-12 05:17:59+00:00,lythanhphu,moomoo,M4
2019-04-12 05:18:37+00:00,lythanhphu,jason,AG36Grenade
2019-04-12 05:18:54+00:00,lythanhphu,jason,AG36Grenade
2019-04-12 05:19:08+00:00,moomoo,jason,OICW
2019-04-12 05:19:16+00:00,lythanhphu,shogun,AG36
2019-04-12 05:19:21+00:00,lythanhphu,moomoo,AG36
2019-04-12 05:19:38+00:00,lythanhphu,shogun,AG36Grenade
2019-04-12 05:19:56+00:00,lythanhphu,shogun,AG36Grenade
2019-04-12 05:20:13+00:00,lythanhphu,Transporter,AG36
2019-04-12 05:20:39+00:00,Transporter,lythanhphu,M4
2019-04-12 05:20:53+00:00,shogun,Transporter,Rocket
2019-04-12 05:20:59+00:00,lythanhphu
2019-04-12 05:21:09+00:00,lythanhphu,moomoo,OICW
2019-04-12 05:21:34+00:00,lythanhphu,moomoo,VehicleRocket
2019-04-12 05:21:38+00:00,lythanhphu,Transporter,VehicleRocket
2019-04-12 05:22:12+00:00,lythanhphu,moomoo,VehicleRocket
2019-04-12 05:22:16+00:00,lythanhphu,shogun,VehicleRocket
2019-04-12 05:22:32+00:00,Transporter,lythanhphu,MG
2019-04-12 05:23:33+00:00,shogun,lythanhphu,Machete
2019-04-12 05:23:49+00:00,lythanhphu,moomoo,P90
2019-04-12 05:24:03+00:00,moomoo,lythanhphu,Falcon
2019-04-12 05:24:12+00:00,moomoo
2019-04-12 05:24:17+00:00,lythanhphu,Transporter,OICW
2019-04-12 05:24:38+00:00,lythanhphu,moomoo,OICWGrenade
2019-04-12 05:24:49+00:00,lythanhphu,shogun,OICW
2019-04-12 05:25:32+00:00,jason,lythanhphu,AG36
2019-04-12 05:25:46+00:00,shogun,lythanhphu,Machete
2019-04-12 05:27:06+00:00,lythanhphu,moomoo,VehicleRocket
2019-04-12 05:27:28+00:00,lythanhphu,Transporter,VehicleRocket
2019-04-12 05:27:37+00:00,Transporter,lythanhphu,MG
2019-04-12 05:27:48+00:00,shogun,lythanhphu,Machete
2019-04-12 05:28:00+00:00,lythanhphu,moomoo,Machete
2019-04-12 05:28:54+00:00,lythanhphu,shogun,OICWGrenade
2019-04-12 05:29:35+00:00,lythanhphu,shogun,VehicleRocket
2019-04-12 05:29:45+00:00,lythanhphu,Transporter,VehicleRocket
2019-04-12 05:30:10+00:00,lythanhphu,Transporter,OICWGrenade
2019-04-12 05:30:15+00:00,lythanhphu,Transporter,Machete
2019-04-12 05:30:52+00:00,lythanhphu,jason,VehicleRocket
2019-04-12 05:30:53+00:00,shogun,lythanhphu,M4
2019-04-12 05:31:11+00:00,lythanhphu,jason,AG36
2019-04-12 05:31:24+00:00,moomoo,shogun,M4
2019-04-12 05:31:43+00:00,moomoo,lythanhphu,M4
2019-04-12 05:31:49+00:00,lythanhphu,moomoo,Falcon
2019-04-12 05:31:56+00:00,shogun,lythanhphu,Machete
2019-04-12 05:32:22+00:00,lythanhphu
2019-04-12 05:32:22+00:00,lythanhphu,shogun,Rocket
2019-04-12 05:33:04+00:00,moomoo,lythanhphu,P90
2019-04-12 05:33:30+00:00,lythanhphu,jason,AG36
2019-04-12 05:33:31+00:00,Transporter,shogun,AG36
2019-04-12 05:33:59+00:00,lythanhphu,jason,M4
2019-04-12 05:34:39+00:00,lythanhphu,shogun,AG36
2019-04-12 05:34:46+00:00,jason,lythanhphu,AG36
2019-04-12 05:35:02+00:00,moomoo,lythanhphu,P90
2019-04-12 05:35:33+00:00,lythanhphu,moomoo,P90
2019-04-12 05:35:53+00:00,lythanhphu,jason,SniperRifle
2019-04-12 05:35:54+00:00,moomoo,lythanhphu,M4
2019-04-12 05:36:34+00:00,lythanhphu,shogun,AG36Grenade
2019-04-12 05:36:46+00:00,lythanhphu,Transporter,M4
2019-04-12 05:37:10+00:00,lythanhphu,Transporter,AG36Grenade
2019-04-12 05:37:16+00:00,Transporter,lythanhphu,Falcon
2019-04-12 05:37:36+00:00,shogun,lythanhphu,MG
2019-04-12 05:37:59+00:00,lythanhphu,moomoo,VehicleRocket
2019-04-12 05:38:07+00:00,lythanhphu,Transporter,VehicleRocket
2019-04-12 05:38:28+00:00,shogun,jason,MG
2019-04-12 05:38:49+00:00,Transporter,lythanhphu,MG
2019-04-12 05:38:53+00:00,lythanhphu,Transporter,Falcon
2019-04-12 05:39:01+00:00,lythanhphu,moomoo,Machete
2019-04-12 05:39:05+00:00,Transporter,lythanhphu,Falcon
2019-04-12 05:39:22+00:00,lythanhphu,jason,AG36
2019-04-12 05:39:28+00:00,lythanhphu,Transporter,AG36Grenade
2019-04-12 05:39:49+00:00,lythanhphu,jason,AG36
2019-04-12 05:39:58+00:00,lythanhphu,jason,AG36Grenade
2019-04-12 05:40:14+00:00,lythanhphu,jason,AG36
2019-04-12 05:40:50+00:00,lythanhphu,Transporter,AG36Grenade
